"week","team","team_points","opponent","opponent_points","result"
1,8,149.56,16,80.76,1
1,2,74.54,15,126.46,0
1,9,144.82,11,131.06,1
1,3,108,7,127.5,0
1,4,171.4,10,88.92,1
1,6,71.06,13,106.6,0
1,1,107.56,14,109.56,0
1,5,130.82,12,114.04,1
2,8,69.42,15,89.88,0
2,11,130.14,16,97.58,1
2,2,123.78,7,87.6,1
2,4,72.16,9,111.96,0
2,3,142.36,6,115.68,1
2,1,134.02,10,105.62,1
2,12,87.48,13,151.78,0
2,5,103.98,14,80,1
